#   k = (   0.000000E+00,   0.000000E+00 )
#       v      Im(iv)          Re(G(k,iv))      Im(G(k,iv))      abs(G(k,iv))
   -211091  -6.63161935E+02   9.09504833E-06   1.50787246E-03   1.50789989E-03
    -68437  -2.15001176E+02   8.65023732E-05   4.64952800E-03   4.65033260E-03
    -38967  -1.22418441E+02   2.66626234E-04   8.15999197E-03   8.16434679E-03
    -25821  -8.11190639E+01   6.06400325E-04   1.22976567E-02   1.23125985E-02
    -17867  -5.61308359E+01   1.26315627E-03   1.77255043E-02   1.77704549E-02
    -12911  -4.05611028E+01   2.40789347E-03   2.44167037E-02   2.45351456E-02
     -9533  -2.99488028E+01   4.38149316E-03   3.28051186E-02   3.30964241E-02
     -7039  -2.21136707E+01   7.92056573E-03   4.37881956E-02   4.44987801E-02
     -5199  -1.63331402E+01   1.41456987E-02   5.77609200E-02   5.94678457E-02
     -3839  -1.20605742E+01   2.47743291E-02   7.46981586E-02   7.86993156E-02
     -2835  -8.90641517E+00   4.19620484E-02   9.34328560E-02   1.02423201E-01
     -2139  -6.71986669E+00   6.54058509E-02   1.09879650E-01   1.27872838E-01
     -1579  -4.96057480E+00   9.85044504E-02   1.22159674E-01   1.56927093E-01
     -1191  -3.74163685E+00   1.33334016E-01   1.24721867E-01   1.82574653E-01
      -879  -2.76145994E+00   1.69307432E-01   1.16883923E-01   2.05734922E-01
      -649  -2.03889363E+00   1.98441370E-01   1.01150211E-01   2.22733793E-01
      -491  -1.54252199E+00   2.17635268E-01   8.39267967E-02   2.33256976E-01
      -363  -1.14039813E+00   2.31207085E-01   6.59170320E-02   2.40419989E-01
      -273  -8.57654794E-01   2.39011852E-01   5.12474152E-02   2.44444192E-01
      -201  -6.31460123E-01   2.43921151E-01   3.85066201E-02   2.46941871E-01
      -149  -4.68097305E-01   2.46622579E-01   2.88608412E-02   2.48305547E-01
      -111  -3.48716785E-01   2.48114279E-01   2.16304034E-02   2.49055355E-01
       -83  -2.60752190E-01   2.48942125E-01   1.62280511E-02   2.49470502E-01
       -61  -1.91637152E-01   2.49427489E-01   1.19498934E-02   2.49713580E-01
       -45  -1.41371669E-01   2.49688109E-01   8.82470621E-03   2.49844006E-01
       -33  -1.03672558E-01   2.49832175E-01   6.47518514E-03   2.49916074E-01
       -25  -7.85398163E-02   2.49903654E-01   4.90684678E-03   2.49951823E-01
       -19  -5.96902604E-02   2.49944342E-01   3.72981071E-03   2.49972169E-01
       -15  -4.71238898E-02   2.49965307E-01   2.94483440E-03   2.49982653E-01
       -11  -3.45575192E-02   2.49981342E-01   2.15968375E-03   2.49990671E-01
        -9  -2.82743339E-02   2.49987509E-01   1.76705758E-03   2.49993755E-01
        -7  -2.19911486E-02   2.49992444E-01   1.37440524E-03   2.49996222E-01
        -5  -1.57079633E-02   2.49996145E-01   9.81732565E-04   2.49998072E-01
        -3  -9.42477796E-03   2.49998612E-01   5.89045352E-04   2.49999306E-01
        -1  -3.14159265E-03   2.49999846E-01   1.96349420E-04   2.49999923E-01
         1   3.14159265E-03   2.49999846E-01  -1.96349420E-04   2.49999923E-01
         3   9.42477796E-03   2.49998612E-01  -5.89045352E-04   2.49999306E-01
         5   1.57079633E-02   2.49996145E-01  -9.81732565E-04   2.49998072E-01
         7   2.19911486E-02   2.49992444E-01  -1.37440524E-03   2.49996222E-01
         9   2.82743339E-02   2.49987509E-01  -1.76705758E-03   2.49993755E-01
        11   3.45575192E-02   2.49981342E-01  -2.15968375E-03   2.49990671E-01
        15   4.71238898E-02   2.49965307E-01  -2.94483440E-03   2.49982653E-01
        19   5.96902604E-02   2.49944342E-01  -3.72981071E-03   2.49972169E-01
        25   7.85398163E-02   2.49903654E-01  -4.90684678E-03   2.49951823E-01
        33   1.03672558E-01   2.49832175E-01  -6.47518514E-03   2.49916074E-01
        45   1.41371669E-01   2.49688109E-01  -8.82470621E-03   2.49844006E-01
        61   1.91637152E-01   2.49427489E-01  -1.19498934E-02   2.49713580E-01
        83   2.60752190E-01   2.48942125E-01  -1.62280511E-02   2.49470502E-01
       111   3.48716785E-01   2.48114279E-01  -2.16304034E-02   2.49055355E-01
       149   4.68097305E-01   2.46622579E-01  -2.88608412E-02   2.48305547E-01
       201   6.31460123E-01   2.43921151E-01  -3.85066201E-02   2.46941871E-01
       273   8.57654794E-01   2.39011852E-01  -5.12474152E-02   2.44444192E-01
       363   1.14039813E+00   2.31207085E-01  -6.59170320E-02   2.40419989E-01
       491   1.54252199E+00   2.17635268E-01  -8.39267967E-02   2.33256976E-01
       649   2.03889363E+00   1.98441370E-01  -1.01150211E-01   2.22733793E-01
       879   2.76145994E+00   1.69307432E-01  -1.16883923E-01   2.05734922E-01
      1191   3.74163685E+00   1.33334016E-01  -1.24721867E-01   1.82574653E-01
      1579   4.96057480E+00   9.85044504E-02  -1.22159674E-01   1.56927093E-01
      2139   6.71986669E+00   6.54058509E-02  -1.09879650E-01   1.27872838E-01
      2835   8.90641517E+00   4.19620484E-02  -9.34328560E-02   1.02423201E-01
      3839   1.20605742E+01   2.47743291E-02  -7.46981586E-02   7.86993156E-02
      5199   1.63331402E+01   1.41456987E-02  -5.77609200E-02   5.94678457E-02
      7039   2.21136707E+01   7.92056573E-03  -4.37881956E-02   4.44987801E-02
      9533   2.99488028E+01   4.38149316E-03  -3.28051186E-02   3.30964241E-02
     12911   4.05611028E+01   2.40789347E-03  -2.44167037E-02   2.45351456E-02
     17867   5.61308359E+01   1.26315627E-03  -1.77255043E-02   1.77704549E-02
     25821   8.11190639E+01   6.06400325E-04  -1.22976567E-02   1.23125985E-02
     38967   1.22418441E+02   2.66626234E-04  -8.15999197E-03   8.16434679E-03
     68437   2.15001176E+02   8.65023732E-05  -4.64952800E-03   4.65033260E-03
    211091   6.63161935E+02   9.09504833E-06  -1.50787246E-03   1.50789989E-03
