#   k = (   0.000000E+00,   0.000000E+00 )
#    l       s_l            Re(G(k,l))       Im(G(k,l))      abs(G(k,l))
     1   1.64686550E+00  -1.58493203E-01   7.84859087E-17   1.58493203E-01
     2   1.59587238E+00  -1.88804613E-01   1.52475266E-16   1.88804613E-01
     3   1.33893502E+00  -1.63236187E-01   3.11480739E-16   1.63236187E-01
     4   1.21631770E+00  -1.35145674E-01   1.19346485E-17   1.35145674E-01
     5   9.86556839E-01  -3.96697124E-02   4.21636355E-16   3.96697124E-02
     6   8.49018883E-01   1.45899414E-02   6.18512144E-17   1.45899414E-02
     7   6.85092351E-01   6.21540519E-02   6.23094177E-16   6.21540519E-02
     8   5.70860903E-01   7.61748642E-02   4.16210956E-16   7.61748642E-02
     9   4.60634721E-01   6.53575724E-02   7.02625247E-16   6.53575724E-02
    10   3.77165232E-01   4.27983591E-02   6.13797385E-16   4.27983591E-02
    11   3.04047163E-01   1.48681457E-02   8.57529262E-16   1.48681457E-02
    12   2.46494052E-01  -6.91306654E-03   1.02980892E-15   6.91306654E-03
    13   1.98283818E-01  -1.98150021E-02   7.46829863E-16   1.98150021E-02
    14   1.59750234E-01  -2.28290116E-02   1.32610676E-15   2.28290116E-02
    15   1.28161792E-01  -1.84588486E-02   8.59646237E-16   1.84588486E-02
    16   1.02800315E-01  -1.04922298E-02   1.55095711E-15   1.04922298E-02
    17   8.22437059E-02  -2.31762884E-03   8.36261423E-16   2.31762884E-03
    18   6.57413219E-02   3.61839562E-03   1.83491374E-15   3.61839562E-03
    19   5.24542674E-02   6.40931370E-03   8.18247990E-16   6.40931370E-03
    20   4.18077661E-02   6.33845588E-03   2.12655709E-15   6.33845588E-03
    21   3.32741342E-02   4.43202245E-03   7.07885889E-16   4.43202245E-03
    22   2.64530650E-02   1.90353368E-03   2.41536410E-15   1.90353368E-03
    23   2.10044158E-02  -2.75785904E-04   6.94649353E-16   2.75785904E-04
    24   1.66601795E-02  -1.57730260E-03   2.67095568E-15   1.57730260E-03
    25   1.31999060E-02  -1.92438686E-03   7.16805477E-16   1.92438686E-03
    26   1.04476935E-02  -1.55662930E-03   2.69404035E-15   1.55662930E-03
    27   8.26098018E-03  -8.46315243E-04   7.03757889E-16   8.46315243E-04
    28   6.52568693E-03  -1.37484187E-04   3.04774371E-15   1.37484187E-04
    29   5.15006437E-03   3.50470284E-04   6.37801007E-16   3.50470284E-04
    30   4.06074813E-03   5.46428381E-04   2.94513057E-15   5.46428381E-04
    31   3.19901180E-03   4.96689554E-04   5.68640616E-16   4.96689554E-04
    32   2.51798868E-03   3.08092792E-04   2.83363820E-15   3.08092792E-04
    33   1.98029091E-03   9.22961121E-05   5.03596505E-16   9.22961121E-05
    34   1.55614922E-03  -7.15180810E-05   2.77677213E-15   7.15180810E-05
    35   1.22188110E-03  -1.50139261E-04   4.55387482E-16   1.50139261E-04
    36   9.58673036E-04  -1.50164263E-04   2.58625781E-15   1.50164263E-04
    37   7.51594495E-04  -1.01218810E-04   3.90291395E-16   1.01218810E-04
    38   5.88810565E-04  -3.78174285E-05   2.71325383E-15   3.78174285E-05
    39   4.60949602E-04   1.37341101E-05   2.63995172E-16   1.37341101E-05
    40   3.60598385E-04   4.09291583E-05   2.59105307E-15   4.09291583E-05
    41   2.81898564E-04   4.40397304E-05   1.58154986E-16   4.40397304E-05
    42   2.20225041E-04   3.12379740E-05   2.60907621E-15   3.12379740E-05
    43   1.71929731E-04   1.29060682E-05   8.32947170E-17   1.29060682E-05
    44   1.34137798E-04  -2.66288252E-06   2.41732949E-15   2.66288252E-06
    45   1.04585741E-04  -1.12784090E-05   1.50723289E-17   1.12784090E-05
    46   8.14929206E-05  -1.27033546E-05   2.33732518E-15   1.27033546E-05
    47   6.34597222E-05  -9.23316076E-06   3.15629582E-17   9.23316076E-06
    48   4.93869167E-05  -3.95603379E-06   2.47907876E-15   3.95603379E-06
    49   3.84118765E-05   6.13031189E-07   1.37255967E-16   6.13031189E-07
    50   2.98581728E-05   3.17521559E-06   2.52517721E-15   3.17521559E-06
    51   2.31957859E-05   3.62925404E-06   3.81234454E-16   3.62925404E-06
    52   1.80097230E-05   2.64043793E-06   3.00681103E-15   2.64043793E-06
    53   1.39752899E-05   1.11804093E-06   7.01155825E-16   1.11804093E-06
    54   1.08386229E-05  -1.93565891E-07   3.19487895E-15   1.93565891E-07
    55   8.40137532E-06  -9.16497021E-07   9.13802232E-16   9.16497021E-07
    56   6.50868209E-06  -1.02953599E-06   3.61610043E-15   1.02953599E-06
    57   5.03970831E-06  -7.31522733E-07   9.68433150E-16   7.31522733E-07
    58   3.90023325E-06  -2.92578302E-07   3.94822695E-15   2.92578302E-07
    59   3.01683573E-06   7.48614249E-08   8.99288706E-16   7.48614249E-08
    60   2.33233870E-06   2.70213794E-07   4.03569016E-15   2.70213794E-07
    61   1.80224290E-06   2.87472919E-07   8.28755784E-16   2.87472919E-07
    62   1.39193695E-06   1.97261103E-07   4.07218904E-15   1.97261103E-07
    63   1.07451640E-06   6.96370823E-08   8.87599339E-16   6.96370823E-08
    64   8.29079918E-07  -2.92746701E-08   4.20743686E-15   2.92746701E-08
    65   6.39399300E-07  -7.78356395E-08   8.31635999E-16   7.78356395E-08
    66   4.92881827E-07  -8.98345165E-08   3.58606800E-15   8.98345165E-08
    67   3.79761337E-07  -4.36516358E-08   7.40078443E-16   4.36516358E-08
    68   2.92467977E-07  -1.38514480E-08   4.00469305E-15   1.38514480E-08
    69   2.25137481E-07   5.56100761E-09   3.96142457E-16   5.56100761E-09
    70   1.73229321E-07   3.40290633E-08   3.35362793E-15   3.40290633E-08
