#   k = (   0.000000E+00,   0.000000E+00 )
#     tau           Re(G(k,tau))     Im(G(k,tau))    abs(G(k,tau))
  1.35924220E-03  -6.48914939E-10  -7.53178354E-14   6.48914943E-10
  7.22802769E-03  -2.30490329E-09   6.79184361E-14   2.30490329E-09
  1.80666459E-02  -7.39464756E-10  -2.19317709E-14   7.39464757E-10
  3.43992412E-02  -2.92308763E-09   1.08922706E-14   2.92308763E-09
  5.70789702E-02   1.91500320E-09  -1.34086153E-14   1.91500320E-09
  8.74138514E-02  -4.63229412E-09   9.18105039E-15   4.63229412E-09
  1.27349980E-01   2.34416892E-10  -7.00912008E-15   2.34416893E-10
  1.79722785E-01  -4.93110358E-09   5.18518001E-15   4.93110358E-09
  2.48579503E-01   1.37026972E-09  -4.36369841E-15   1.37026972E-09
  3.39572975E-01  -6.32042497E-09   2.19043255E-15   6.32042497E-09
  4.60444498E-01   3.44257729E-09  -1.75370546E-15   3.44257729E-09
  6.21654224E-01  -2.88610869E-09   1.23518809E-15   2.88610869E-09
  8.37247777E-01   1.62685400E-09  -1.23195052E-15   1.62685400E-09
  1.12605297E+00   4.76514359E-10   8.09207366E-16   4.76514359E-10
  1.51330994E+00  -2.08339681E-10  -7.15157260E-16   2.08339681E-10
  2.03287037E+00   1.90013201E-09   7.70176823E-16   1.90013201E-09
  2.73015307E+00  -4.00349574E-09  -6.38383756E-16   4.00349574E-09
  3.66611099E+00   4.15043589E-09   4.21178015E-16   4.15043589E-09
  4.92255363E+00  -4.54659313E-09  -4.52548126E-16   4.54659313E-09
  6.60928435E+00   3.54900111E-09   2.61280329E-16   3.54900111E-09
  8.87366452E+00  -3.72762179E-09  -2.97958255E-16   3.72762179E-09
  1.19134107E+01   3.37798502E-09   2.13784066E-16   3.37798502E-09
  1.59936722E+01  -3.06608856E-09  -1.94712441E-16   3.06608856E-09
  2.14697095E+01   2.37915411E-09   1.54118010E-16   2.37915411E-09
  2.88167393E+01  -2.06829733E-09  -1.63596783E-16   2.06829733E-09
  3.86685549E+01   2.02346879E-09   1.11961527E-16   2.02346879E-09
  5.18659072E+01  -1.53289726E-09  -8.86683722E-17   1.53289726E-09
  6.95132220E+01   1.48939478E-09   8.80452995E-17   1.48939478E-09
  9.30354923E+01  -7.70164126E-10  -3.39300361E-17   7.70164126E-10
  1.24210926E+02   5.16974196E-10   3.48193243E-17   5.16974196E-10
  1.65120525E+02  -6.25784090E-10  -4.21971961E-17   6.25784090E-10
  2.17896574E+02   5.21294597E-10   3.38668627E-17   5.21294597E-10
  2.84092545E+02  -3.49538772E-10  -2.09280811E-17   3.49538772E-10
  3.63566861E+02   2.42631653E-10   1.33805116E-17   2.42631653E-10
  4.53228650E+02  -1.90914486E-10  -1.68482754E-17   1.90914486E-10
  5.46771350E+02   1.69333004E-10   5.62964168E-18   1.69333004E-10
  6.36433139E+02  -1.72798002E-10  -2.09346593E-17   1.72798002E-10
  7.15907455E+02   2.23900164E-10   1.17296692E-17   2.23900164E-10
  7.82103426E+02  -3.65656579E-10  -3.37875072E-17   3.65656579E-10
  8.34879475E+02   5.25971360E-10   3.81827051E-17   5.25971360E-10
  8.75789074E+02  -4.14914131E-10  -2.62909335E-17   4.14914131E-10
  9.06964508E+02   3.52758986E-10   3.11441291E-17   3.52758986E-10
  9.30486778E+02  -1.00899337E-09  -7.91649970E-17   1.00899337E-09
  9.48134093E+02   1.21998559E-09   9.21957003E-17   1.21998559E-09
  9.61331445E+02  -1.60206442E-09  -1.15163064E-16   1.60206442E-09
  9.71183261E+02   1.96349834E-09   1.57566223E-16   1.96349834E-09
  9.78530291E+02  -1.90205236E-09  -1.58676465E-16   1.90205236E-09
  9.84006328E+02   2.70120024E-09   1.89164696E-16   2.70120024E-09
  9.88086589E+02  -2.89268016E-09  -2.33131113E-16   2.89268016E-09
  9.91126335E+02   3.68566193E-09   2.70090953E-16   3.68566193E-09
  9.93390716E+02  -2.81789825E-09  -2.91749043E-16   2.81789825E-09
  9.95077446E+02   2.67425960E-10   4.05226347E-16   2.67425960E-10
  9.96333889E+02  -4.29740101E-07  -4.27492443E-16   4.29740101E-07
  9.97269847E+02  -1.80802342E-05   5.59354523E-16   1.80802342E-05
  9.97967130E+02  -2.94132463E-04  -6.80814374E-16   2.94132463E-04
  9.98486690E+02  -2.35023681E-03   9.38563129E-16   2.35023681E-03
  9.98873947E+02  -1.10623003E-02  -1.10284692E-15   1.10623003E-02
  9.99162752E+02  -3.51197712E-02   1.82434172E-15   3.51197712E-02
  9.99378346E+02  -8.31909276E-02  -2.12227738E-15   8.31909276E-02
  9.99539556E+02  -1.58535305E-01   2.10597557E-15   1.58535305E-01
  9.99660427E+02  -2.57099550E-01  -2.09826306E-15   2.57099550E-01
  9.99751420E+02  -3.69975683E-01   4.03312044E-15   3.69975683E-01
  9.99820277E+02  -4.87292291E-01  -6.30560804E-15   4.87292291E-01
  9.99872650E+02  -6.00856038E-01   1.15423523E-14   6.00856038E-01
  9.99912586E+02  -7.04930958E-01  -1.84902068E-14   7.04930958E-01
  9.99942921E+02  -7.95872822E-01   2.33041041E-14   7.95872822E-01
  9.99965601E+02  -8.71449842E-01  -2.22172929E-14   8.71449842E-01
  9.99981933E+02  -9.30282869E-01   2.24031698E-14   9.30282869E-01
  9.99992772E+02  -9.71501841E-01  -8.09309078E-14   9.71501841E-01
  9.99998641E+02  -9.94577786E-01   1.45879302E-13   9.94577786E-01
