#   k = (   3.141593E+00,   3.141593E+00 )
#     tau           Re(G(k,tau))     Im(G(k,tau))    abs(G(k,tau))
  1.35924220E-03  -9.94577786E-01  -1.94277089E-14   9.94577786E-01
  7.22802769E-03  -9.71501841E-01   3.97095455E-14   9.71501841E-01
  1.80666459E-02  -9.30282869E-01  -1.27763448E-14   9.30282869E-01
  3.43992412E-02  -8.71449842E-01   4.20810703E-15   8.71449842E-01
  5.70789702E-02  -7.95872822E-01  -2.06064578E-15   7.95872822E-01
  8.74138514E-02  -7.04930958E-01   2.45882969E-15   7.04930958E-01
  1.27349980E-01  -6.00856038E-01  -1.53102547E-15   6.00856038E-01
  1.79722785E-01  -4.87292291E-01  -2.87382168E-16   4.87292291E-01
  2.48579503E-01  -3.69975683E-01   7.44277024E-16   3.69975683E-01
  3.39572975E-01  -2.57099550E-01   8.39662381E-16   2.57099550E-01
  4.60444498E-01  -1.58535305E-01  -7.83916235E-16   1.58535305E-01
  6.21654224E-01  -8.31909276E-02   5.67825560E-16   8.31909276E-02
  8.37247777E-01  -3.51197712E-02  -1.62409349E-16   3.51197712E-02
  1.12605297E+00  -1.10623003E-02   2.65623209E-16   1.10623003E-02
  1.51330994E+00  -2.35023681E-03  -8.75179900E-17   2.35023681E-03
  2.03287037E+00  -2.94132463E-04   3.36456749E-17   2.94132463E-04
  2.73015307E+00  -1.80802342E-05   1.26694173E-17   1.80802342E-05
  3.66611099E+00  -4.29740101E-07   2.87473163E-17   4.29740101E-07
  4.92255363E+00   2.67425968E-10   5.85697484E-17   2.67425968E-10
  6.60928435E+00  -2.81789835E-09   2.62926185E-17   2.81789835E-09
  8.87366452E+00   3.68566194E-09   2.09756534E-17   3.68566194E-09
  1.19134107E+01  -2.89268027E-09   9.79268350E-19   2.89268027E-09
  1.59936722E+01   2.70120030E-09  -8.41224037E-18   2.70120030E-09
  2.14697095E+01  -1.90205245E-09  -2.65541040E-17   1.90205245E-09
  2.88167393E+01   1.96349837E-09   2.30262186E-17   1.96349837E-09
  3.86685549E+01  -1.60206450E-09   1.33066246E-17   1.60206450E-09
  5.18659072E+01   1.21998563E-09  -7.29408192E-18   1.21998563E-09
  6.95132220E+01  -1.00899339E-09  -1.18406135E-18   1.00899339E-09
  9.30354923E+01   3.52758988E-10   2.13221721E-18   3.52758988E-10
  1.24210926E+02  -4.14914153E-10  -1.41670967E-18   4.14914153E-10
  1.65120525E+02   5.25971353E-10   2.49716171E-18   5.25971353E-10
  2.17896574E+02  -3.65656599E-10  -3.48874027E-19   3.65656599E-10
  2.84092545E+02   2.23900163E-10   3.11677355E-18   2.23900163E-10
  3.63566861E+02  -1.72798014E-10   2.32707530E-18   1.72798014E-10
  4.53228650E+02   1.69333012E-10   1.74052197E-18   1.69333012E-10
  5.46771350E+02  -1.90914493E-10   6.27137373E-18   1.90914493E-10
  6.36433139E+02   2.42631661E-10   5.06104051E-18   2.42631661E-10
  7.15907455E+02  -3.49538786E-10   5.77054676E-18   3.49538786E-10
  7.82103426E+02   5.21294600E-10   1.76865514E-18   5.21294600E-10
  8.34879475E+02  -6.25784105E-10   1.94079346E-18   6.25784105E-10
  8.75789074E+02   5.16974197E-10  -2.21208084E-18   5.16974197E-10
  9.06964508E+02  -7.70164134E-10   2.63123690E-18   7.70164134E-10
  9.30486778E+02   1.48939481E-09  -6.58537540E-18   1.48939481E-09
  9.48134093E+02  -1.53289728E-09   7.67426570E-18   1.53289728E-09
  9.61331445E+02   2.02346882E-09  -6.86920626E-18   2.02346882E-09
  9.71183261E+02  -2.06829741E-09  -1.67413911E-17   2.06829741E-09
  9.78530291E+02   2.37915414E-09   3.09551120E-17   2.37915414E-09
  9.84006328E+02  -3.06608863E-09   1.26363221E-17   3.06608863E-09
  9.88086589E+02   3.37798509E-09   2.92385566E-17   3.37798509E-09
  9.91126335E+02  -3.72762194E-09   7.68526055E-18   3.72762194E-09
  9.93390716E+02   3.54900122E-09   9.03403608E-18   3.54900122E-09
  9.95077446E+02  -4.54659343E-09  -2.42906019E-17   4.54659343E-09
  9.96333889E+02   4.15043618E-09   8.80196058E-18   4.15043618E-09
  9.97269847E+02  -4.00349610E-09   9.44828846E-17   4.00349610E-09
  9.97967130E+02   1.90013212E-09  -1.08973211E-16   1.90013212E-09
  9.98486690E+02  -2.08339908E-10  -1.05242229E-16   2.08339908E-10
  9.98873947E+02   4.76514977E-10  -5.76787625E-18   4.76514977E-10
  9.99162752E+02   1.62685350E-09  -2.32591771E-16   1.62685350E-09
  9.99378346E+02  -2.88610759E-09   2.00402378E-16   2.88610759E-09
  9.99539556E+02   3.44257535E-09   4.98952978E-16   3.44257535E-09
  9.99660427E+02  -6.32042472E-09  -6.55358374E-16   6.32042472E-09
  9.99751420E+02   1.37026786E-09  -5.47081454E-16   1.37026786E-09
  9.99820277E+02  -4.93110222E-09   1.24374209E-15   4.93110222E-09
  9.99872650E+02   2.34415539E-10  -2.44341502E-15   2.34415539E-10
  9.99912586E+02  -4.63228819E-09   5.58294238E-15   4.63228819E-09
  9.99942921E+02   1.91499556E-09  -7.01881167E-15   1.91499556E-09
  9.99965601E+02  -2.92307122E-09   7.17584837E-15   2.92307122E-09
  9.99981933E+02  -7.39496503E-10   1.56893153E-14   7.39496503E-10
  9.99992772E+02  -2.30484150E-09  -4.93610872E-14   2.30484150E-09
  9.99998641E+02  -6.49137120E-10   1.06587238E-13   6.49137128E-10
