#     tau           Re(G(r,tau))     Im(G(r,tau))    abs(G(r,tau))
  1.35924220E-03  -4.98900113E-01  -3.19594583E-13   4.98900113E-01
  7.22802769E-03  -4.94193214E-01   2.52656763E-13   4.94193214E-01
  1.80666459E-02  -4.85676917E-01  -1.22830735E-13   4.85676917E-01
  3.43992412E-02  -4.73262962E-01   7.17516590E-14   4.73262962E-01
  5.70789702E-02  -4.56821732E-01  -4.88479989E-14   4.56821732E-01
  8.74138514E-02  -4.36187698E-01   3.47952210E-14   4.36187698E-01
  1.27349980E-01  -4.11192389E-01  -2.43741381E-14   4.11192389E-01
  1.79722785E-01  -3.81748199E-01   1.81127935E-14   3.81748199E-01
  2.48579503E-01  -3.48004880E-01  -1.44355176E-14   3.48004880E-01
  3.39572975E-01  -3.10568131E-01   1.00924340E-14   3.10568131E-01
  4.60444498E-01  -2.70694532E-01  -8.95089572E-15   2.70694532E-01
  6.21654224E-01  -2.30299099E-01   6.26883617E-15   2.30299099E-01
  8.37247777E-01  -1.91632358E-01  -5.15657613E-15   1.91632358E-01
  1.12605297E+00  -1.56675078E-01   3.69531216E-15   1.56675078E-01
  1.51330994E+00  -1.26573753E-01  -2.88708332E-15   1.26573753E-01
  2.03287037E+00  -1.01504222E-01   2.44729864E-15   1.01504222E-01
  2.73015307E+00  -8.10009837E-02  -2.07536986E-15   8.10009837E-02
  3.66611099E+00  -6.43876678E-02   1.56574458E-15   6.43876678E-02
  4.92255363E+00  -5.10113515E-02  -1.33606523E-15   5.10113515E-02
  6.60928435E+00  -4.03024032E-02   9.51653195E-16   4.03024032E-02
  8.87366452E+00  -3.17764970E-02  -9.58087441E-16   3.17764970E-02
  1.19134107E+01  -2.50275135E-02   7.65234610E-16   2.50275135E-02
  1.59936722E+01  -1.97192109E-02  -6.83851288E-16   1.97192109E-02
  2.14697095E+01  -1.55765564E-02   4.82711026E-16   1.55765564E-02
  2.88167393E+01  -1.23770096E-02  -4.74951423E-16   1.23770096E-02
  3.86685549E+01  -9.94168497E-03   4.13697312E-16   9.94168497E-03
  5.18659072E+01  -8.12596573E-03  -3.12505315E-16   8.12596573E-03
  6.95132220E+01  -6.80923806E-03   2.90721995E-16   6.80923806E-03
  9.30354923E+01  -5.88502272E-03  -1.18559931E-16   5.88502272E-03
  1.24210926E+02  -5.25579682E-03   1.06145075E-16   5.25579682E-03
  1.65120525E+02  -4.83635973E-03  -1.35399137E-16   4.83635973E-03
  2.17896574E+02  -4.56114074E-03   1.08916065E-16   4.56114074E-03
  2.84092545E+02  -4.38582003E-03  -6.64871145E-17   4.38582003E-03
  3.63566861E+02  -4.28252437E-03   4.97436643E-17   4.28252437E-03
  4.53228650E+02  -4.23476255E-03  -4.62726051E-17   4.23476255E-03
  5.46771350E+02  -4.23476255E-03   4.37626760E-17   4.23476255E-03
  6.36433139E+02  -4.28252437E-03  -5.02059256E-17   4.28252437E-03
  7.15907455E+02  -4.38582003E-03   6.70268705E-17   4.38582003E-03
  7.82103426E+02  -4.56114074E-03  -1.08557869E-16   4.56114074E-03
  8.34879475E+02  -4.83635973E-03   1.36337146E-16   4.83635973E-03
  8.75789074E+02  -5.25579682E-03  -1.03234281E-16   5.25579682E-03
  9.06964508E+02  -5.88502272E-03   1.24461534E-16   5.88502272E-03
  9.30486778E+02  -6.80923806E-03  -2.87182208E-16   6.80923806E-03
  9.48134093E+02  -8.12596573E-03   3.17094715E-16   8.12596573E-03
  9.61331445E+02  -9.94168497E-03  -4.12996033E-16   9.94168497E-03
  9.71183261E+02  -1.23770096E-02   4.74076775E-16   1.23770096E-02
  9.78530291E+02  -1.55765564E-02  -4.78953318E-16   1.55765564E-02
  9.84006328E+02  -1.97192109E-02   6.82586168E-16   1.97192109E-02
  9.88086589E+02  -2.50275135E-02  -7.51995670E-16   2.50275135E-02
  9.91126335E+02  -3.17764970E-02   9.70393969E-16   3.17764970E-02
  9.93390716E+02  -4.03024032E-02  -9.73446884E-16   4.03024032E-02
  9.95077446E+02  -5.10113515E-02   1.33771824E-15   5.10113515E-02
  9.96333889E+02  -6.43876678E-02  -1.55220641E-15   6.43876678E-02
  9.97269847E+02  -8.10009837E-02   2.08814336E-15   8.10009837E-02
  9.97967130E+02  -1.01504222E-01  -2.46162617E-15   1.01504222E-01
  9.98486690E+02  -1.26573753E-01   2.96488691E-15   1.26573753E-01
  9.98873947E+02  -1.56675078E-01  -3.81198051E-15   1.56675078E-01
  9.99162752E+02  -1.91632358E-01   5.26223070E-15   1.91632358E-01
  9.99378346E+02  -2.30299099E-01  -6.32242281E-15   2.30299099E-01
  9.99539556E+02  -2.70694532E-01   8.90095576E-15   2.70694532E-01
  9.99660427E+02  -3.10568131E-01  -1.00738446E-14   3.10568131E-01
  9.99751420E+02  -3.48004880E-01   1.42488011E-14   3.48004880E-01
  9.99820277E+02  -3.81748199E-01  -1.76029897E-14   3.81748199E-01
  9.99872650E+02  -4.11192389E-01   2.38378752E-14   4.11192389E-01
  9.99912586E+02  -4.36187698E-01  -3.50775822E-14   4.36187698E-01
  9.99942921E+02  -4.56821732E-01   4.83352233E-14   4.56821732E-01
  9.99965601E+02  -4.73262962E-01  -7.03184645E-14   4.73262962E-01
  9.99981933E+02  -4.85676917E-01   1.21590779E-13   4.85676917E-01
  9.99992772E+02  -4.94193214E-01  -2.56530253E-13   4.94193214E-01
  9.99998641E+02  -4.98900113E-01   3.62204305E-13   4.98900113E-01
