#   k = (   0.000000E+00,   0.000000E+00 )
#       v      Im(iv)        Re(Sigma(k,iv))  Im(Sigma(k,iv))   abs(Sigma(k,iv))
   -211091  -6.63161935E+02  -4.48102095E-06   1.50783212E-03   1.50783878E-03
    -68437  -2.15001176E+02  -4.25786986E-05   4.64834626E-03   4.64854126E-03
    -38967  -1.22418441E+02  -1.30954722E-04   8.15361579E-03   8.15466735E-03
    -25821  -8.11190639E+01  -2.96620529E-04   1.22759079E-02   1.22794910E-02
    -17867  -5.61308359E+01  -6.13047152E-04   1.76608115E-02   1.76714484E-02
    -12911  -4.05611028E+01  -1.15299688E-03   2.42495327E-02   2.42769281E-02
     -9533  -2.99488028E+01  -2.05109092E-03   3.24073085E-02   3.24721514E-02
     -7039  -2.21136707E+01  -3.56632982E-03   4.28719720E-02   4.30200498E-02
     -5199  -1.63331402E+01  -5.97474284E-03   5.57626060E-02   5.60817776E-02
     -3839  -1.20605742E+01  -9.48138516E-03   7.06877564E-02   7.13207934E-02
     -2835  -8.90641517E+00  -1.39766914E-02   8.63168613E-02   8.74411141E-02
     -2139  -6.71986669E+00  -1.85347318E-02   9.94562089E-02   1.01168541E-01
     -1579  -4.96057480E+00  -2.30207023E-02   1.09474105E-01   1.11868371E-01
     -1191  -3.74163685E+00  -2.61919272E-02   1.13019791E-01   1.16015043E-01
      -879  -2.76145994E+00  -2.83881994E-02   1.10031120E-01   1.13634225E-01
      -649  -2.03889363E+00  -2.96045968E-02   1.01145257E-01   1.05388781E-01
      -491  -1.54252199E+00  -3.01975702E-02   8.96708485E-02   9.46189955E-02
      -363  -1.14039813E+00  -3.05358546E-02   7.58144993E-02   8.17329598E-02
      -273  -8.57654794E-01  -3.07046917E-02   6.29140436E-02   7.00068209E-02
      -201  -6.31460123E-01  -3.08026785E-02   5.02917372E-02   5.89751120E-02
      -149  -4.68097305E-01  -3.08542754E-02   3.96783355E-02   5.02628751E-02
      -111  -3.48716785E-01  -3.08821671E-02   3.10103516E-02   4.37647136E-02
       -83  -2.60752190E-01  -3.08974893E-02   2.40690897E-02   3.91660047E-02
       -61  -1.91637152E-01  -3.09064301E-02   1.82488014E-02   3.58918678E-02
       -45  -1.41371669E-01  -3.09112192E-02   1.37930275E-02   3.38489450E-02
       -33  -1.03672558E-01  -3.09138644E-02   1.03165558E-02   3.25898502E-02
       -25  -7.85398163E-02  -3.09151758E-02   7.92939473E-03   3.19158800E-02
       -19  -5.96902604E-02  -3.09159225E-02   6.09977128E-03   3.15119259E-02
       -15  -4.71238898E-02  -3.09163069E-02   4.86040170E-03   3.12960307E-02
       -11  -3.45575192E-02  -3.09166012E-02   3.60546472E-03   3.11261242E-02
        -9  -2.82743339E-02  -3.09167143E-02   2.97288820E-03   3.10593188E-02
        -7  -2.19911486E-02  -3.09168049E-02   2.33823031E-03   3.10050987E-02
        -5  -1.57079633E-02  -3.09168727E-02   1.70456343E-03   3.09638266E-02
        -3  -9.42477796E-03  -3.09169180E-02   1.08282437E-03   3.09358744E-02
        -1  -3.14159265E-03  -3.09169406E-02   5.72015410E-04   3.09222318E-02
         1   3.14159265E-03  -3.09169406E-02  -5.72015410E-04   3.09222318E-02
         3   9.42477796E-03  -3.09169180E-02  -1.08282437E-03   3.09358744E-02
         5   1.57079633E-02  -3.09168727E-02  -1.70456343E-03   3.09638266E-02
         7   2.19911486E-02  -3.09168049E-02  -2.33823031E-03   3.10050987E-02
         9   2.82743339E-02  -3.09167143E-02  -2.97288820E-03   3.10593188E-02
        11   3.45575192E-02  -3.09166012E-02  -3.60546472E-03   3.11261242E-02
        15   4.71238898E-02  -3.09163069E-02  -4.86040170E-03   3.12960307E-02
        19   5.96902604E-02  -3.09159225E-02  -6.09977128E-03   3.15119259E-02
        25   7.85398163E-02  -3.09151758E-02  -7.92939473E-03   3.19158800E-02
        33   1.03672558E-01  -3.09138644E-02  -1.03165558E-02   3.25898502E-02
        45   1.41371669E-01  -3.09112192E-02  -1.37930275E-02   3.38489450E-02
        61   1.91637152E-01  -3.09064301E-02  -1.82488014E-02   3.58918678E-02
        83   2.60752190E-01  -3.08974893E-02  -2.40690897E-02   3.91660047E-02
       111   3.48716785E-01  -3.08821671E-02  -3.10103516E-02   4.37647136E-02
       149   4.68097305E-01  -3.08542754E-02  -3.96783355E-02   5.02628751E-02
       201   6.31460123E-01  -3.08026785E-02  -5.02917372E-02   5.89751120E-02
       273   8.57654794E-01  -3.07046917E-02  -6.29140436E-02   7.00068209E-02
       363   1.14039813E+00  -3.05358546E-02  -7.58144993E-02   8.17329598E-02
       491   1.54252199E+00  -3.01975702E-02  -8.96708485E-02   9.46189955E-02
       649   2.03889363E+00  -2.96045968E-02  -1.01145257E-01   1.05388781E-01
       879   2.76145994E+00  -2.83881994E-02  -1.10031120E-01   1.13634225E-01
      1191   3.74163685E+00  -2.61919272E-02  -1.13019791E-01   1.16015043E-01
      1579   4.96057480E+00  -2.30207023E-02  -1.09474105E-01   1.11868371E-01
      2139   6.71986669E+00  -1.85347318E-02  -9.94562089E-02   1.01168541E-01
      2835   8.90641517E+00  -1.39766914E-02  -8.63168613E-02   8.74411141E-02
      3839   1.20605742E+01  -9.48138516E-03  -7.06877564E-02   7.13207934E-02
      5199   1.63331402E+01  -5.97474284E-03  -5.57626060E-02   5.60817776E-02
      7039   2.21136707E+01  -3.56632982E-03  -4.28719720E-02   4.30200498E-02
      9533   2.99488028E+01  -2.05109092E-03  -3.24073085E-02   3.24721514E-02
     12911   4.05611028E+01  -1.15299688E-03  -2.42495327E-02   2.42769281E-02
     17867   5.61308359E+01  -6.13047152E-04  -1.76608115E-02   1.76714484E-02
     25821   8.11190639E+01  -2.96620529E-04  -1.22759079E-02   1.22794910E-02
     38967   1.22418441E+02  -1.30954722E-04  -8.15361579E-03   8.15466735E-03
     68437   2.15001176E+02  -4.25786986E-05  -4.64834626E-03   4.64854126E-03
    211091   6.63161935E+02  -4.48102095E-06  -1.50783212E-03   1.50783878E-03
