#   k = (   0.000000E+00,   0.000000E+00 )
#    l       s_l          Re(Sigma(k,l))   Im(Sigma(k,l))   abs(Sigma(k,l))
     1   1.64686550E+00  -1.54979496E-01   6.67202411E-16   1.54979496E-01
     2   1.59587238E+00   3.06155650E-02   4.39873547E-16   3.06155650E-02
     3   1.33893502E+00  -1.56592500E-01   1.12940431E-15   1.56592500E-01
     4   1.21631770E+00   2.81953169E-02   7.64195619E-16   2.81953169E-02
     5   9.86556839E-01  -3.62925720E-02   1.34446201E-15   3.62925720E-02
     6   8.49018883E-01   7.48484534E-03   1.08914673E-15   7.48484534E-03
     7   6.85092351E-01   5.58035805E-02   1.39828494E-15   5.58035805E-02
     8   5.70860903E-01  -7.52747839E-03   1.50743374E-15   7.52747839E-03
     9   4.60634721E-01   5.52048753E-02   1.37790634E-15   5.52048753E-02
    10   3.77165232E-01  -9.95589512E-03   1.97342011E-15   9.95589512E-03
    11   3.04047163E-01   1.25749921E-02   1.33259785E-15   1.25749921E-02
    12   2.46494052E-01  -4.89703605E-03   2.41253560E-15   4.89703605E-03
    13   1.98283818E-01  -1.33184103E-02   1.28898108E-15   1.33184103E-02
    14   1.59750234E-01   4.68552027E-04   2.81478422E-15   4.68552027E-04
    15   1.28161792E-01  -1.22825200E-02   1.26021114E-15   1.22825200E-02
    16   1.02800315E-01   2.52734204E-03   3.23381662E-15   2.52734204E-03
    17   8.22437059E-02  -2.33608174E-03   1.24935815E-15   2.33608174E-03
    18   6.57413219E-02   1.73649122E-03   3.72563081E-15   1.73649122E-03
    19   5.24542674E-02   2.81865633E-03   1.25515929E-15   2.81865633E-03
    20   4.18077661E-02   2.16349451E-04   4.29766624E-15   2.16349451E-04
    21   3.32741342E-02   2.26675252E-03   1.27520011E-15   2.26675252E-03
    22   2.64530650E-02  -5.68076182E-04   4.91284772E-15   5.68076182E-04
    23   2.10044158E-02   2.89751491E-04   1.30419517E-15   2.89751491E-04
    24   1.66601795E-02  -4.82883659E-04   5.52891440E-15   4.82883659E-04
    25   1.31999060E-02  -5.55366502E-04   1.33200231E-15   5.55366502E-04
    26   1.04476935E-02  -9.67915582E-05   6.12665221E-15   9.67915582E-05
    27   8.26098018E-03  -3.62770517E-04   1.34604575E-15   3.62770517E-04
    28   6.52568693E-03   1.26421723E-04   6.70659620E-15   1.26421723E-04
    29   5.15006437E-03  -8.63344217E-06   1.33596862E-15   8.63344217E-06
    30   4.06074813E-03   1.16362614E-04   7.27080955E-15   1.16362614E-04
    31   3.19901180E-03   1.02743258E-04   1.29643586E-15   1.02743258E-04
    32   2.51798868E-03   2.30771427E-05   7.81495562E-15   2.30771427E-05
    33   1.98029091E-03   4.89079629E-05   1.22892237E-15   4.89079629E-05
    34   1.55614922E-03  -2.91422841E-05   8.33178920E-15   2.91422841E-05
    35   1.22188110E-03  -8.29728226E-06   1.14251348E-15   8.29728226E-06
    36   9.58673036E-04  -2.47218444E-05   8.81609716E-15   2.47218444E-05
    37   7.51594495E-04  -1.76166248E-05   1.05042215E-15   1.76166248E-05
    38   5.88810565E-04  -3.28233194E-06   9.26585748E-15   3.28233194E-06
    39   4.60949602E-04  -4.81967584E-06   9.62922114E-16   4.81967584E-06
    40   3.60598385E-04   6.71655780E-06   9.68075663E-15   6.71655780E-06
    41   2.81898564E-04   3.25912317E-06   8.82900934E-16   3.25912317E-06
    42   2.20225041E-04   4.49296966E-06   1.00625959E-14   4.49296966E-06
    43   1.71929731E-04   2.73388706E-06   8.06706476E-16   2.73388706E-06
    44   1.34137798E-04   3.87313314E-10   1.04146850E-14   3.87313314E-10
    45   1.04585741E-04   6.53813346E-08   7.28005189E-16   6.53813346E-08
    46   8.14929206E-05  -1.42800501E-06   1.07359158E-14   1.42800501E-06
    47   6.34597222E-05  -8.43269236E-07   6.42300425E-16   8.43269236E-07
    48   4.93869167E-05  -6.39120538E-07   1.10111939E-14   6.39120538E-07
    49   3.84118765E-05  -3.63710168E-07   5.49278211E-16   3.63710168E-07
    50   2.98581728E-05   1.60804396E-07   1.12139199E-14   1.60804396E-07
    51   2.31957859E-05   1.30788781E-07   4.50534687E-16   1.30788781E-07
    52   1.80097230E-05   2.56007479E-07   1.13247688E-14   2.56007479E-07
    53   1.39752899E-05   1.79161974E-07   3.45357952E-16   1.79161974E-07
    54   1.08386229E-05   5.20680139E-08   1.13501870E-14   5.20680139E-08
    55   8.40137532E-06   3.35952661E-08   2.31451195E-16   3.35952661E-08
    56   6.50868209E-06  -5.49385763E-08   1.13240485E-14   5.49385763E-08
    57   5.03970831E-06  -4.63675468E-08   1.11594954E-16   4.63675468E-08
    58   3.90023325E-06  -3.41708445E-08   1.12793972E-14   3.41708445E-08
    59   3.01683573E-06  -3.22742514E-08  -1.45405808E-18   3.22742514E-08
    60   2.33233870E-06   4.38720288E-09   1.11921112E-14   4.38720288E-09
    61   1.80224290E-06   1.25787355E-09  -8.85109956E-17   1.25787355E-09
    62   1.39193695E-06   1.13689337E-08   1.09160962E-14   1.13689337E-08
    63   1.07451640E-06   1.15291339E-08  -1.34191157E-16   1.15291339E-08
    64   8.29079918E-07   2.55687470E-09   1.01548608E-14   2.55687470E-09
    65   6.39399300E-07   4.76579024E-09  -1.35888704E-16   4.76579024E-09
    66   4.92881827E-07  -2.18476664E-09   8.53088165E-15   2.18476664E-09
    67   3.79761337E-07  -1.89816085E-09  -1.04222265E-16   1.89816085E-09
    68   2.92467977E-07  -1.32366695E-09   5.78921084E-15   1.32366695E-09
    69   2.25137481E-07  -2.66709522E-09  -5.49668793E-17   2.66709522E-09
    70   1.73229321E-07  -1.39088764E-10   2.06089498E-15   1.39088764E-10
