#    l    Re(Sigma(r,l))   Im(Sigma(r,l))  abs(Sigma(r,l))
     1  -1.58329499E-01   5.85723402E-16   1.58329499E-01
     2  -2.66713348E-15   3.95626128E-16   2.69631620E-15
     3  -1.56968408E-01   1.00976355E-15   1.56968408E-01
     4  -4.34414170E-16   7.11409535E-16   8.33558155E-16
     5  -3.30297386E-02   1.23549363E-15   3.30297386E-02
     6   3.20623932E-15   1.08392749E-15   3.38450430E-15
     7   5.67228327E-02   1.32261529E-15   5.67228327E-02
     8   4.98251298E-15   1.59812100E-15   5.23253537E-15
     9   5.28438523E-02   1.33373632E-15   5.28438523E-02
    10   3.52776163E-15   2.17863672E-15   4.14627063E-15
    11   1.12663119E-02   1.30821077E-15   1.12663119E-02
    12   1.18264227E-15   2.72166366E-15   2.96750666E-15
    13  -1.22495953E-02   1.27123669E-15   1.22495953E-02
    14  -1.51801975E-15   3.20315058E-15   3.54465197E-15
    15  -1.11188418E-02   1.23748840E-15   1.11188418E-02
    16  -2.02139198E-15   3.68054669E-15   4.19910103E-15
    17  -2.44058863E-03   1.21346121E-15   2.44058863E-03
    18  -1.32755356E-15   4.22177704E-15   4.42558469E-15
    19   2.17394815E-03   1.20240815E-15   2.17394815E-03
    20   1.34838843E-15   4.83840085E-15   5.02277554E-15
    21   2.01795495E-03   1.20603852E-15   2.01795495E-03
    22   2.40535380E-15   5.48477553E-15   5.98903076E-15
    23   4.71574517E-04   1.22146321E-15   4.71574517E-04
    24   3.44506047E-15   6.10557357E-15   7.01045436E-15
    25  -3.52569315E-04   1.23884497E-15   3.52569315E-04
    26   2.21034863E-15   6.67419777E-15   7.03068680E-15
    27  -3.39012750E-04   1.24463520E-15   3.39012750E-04
    28   3.19148338E-15   7.19345812E-15   7.86965094E-15
    29  -8.20525775E-05   1.22720314E-15   8.20525775E-05
    30   3.82349579E-15   7.67576519E-15   8.57534206E-15
    31   5.46688067E-05   1.17987833E-15   5.46688067E-05
    32   7.15549546E-15   8.13255227E-15   1.08323369E-14
    33   5.30592446E-05   1.10289381E-15   5.30592446E-05
    34   9.02303710E-15   8.57312974E-15   1.24464353E-14
    35   1.26906072E-05   1.00501392E-15   1.26906072E-05
    36   1.22063256E-14   9.00445405E-15   1.51682095E-14
    37  -8.09265034E-06   9.00653796E-16   8.09265034E-06
    38   1.29011053E-14   9.42948918E-15   1.59797930E-14
    39  -7.62960296E-06   8.03145558E-16   7.62960296E-06
    40   1.38136528E-14   9.84601673E-15   1.69635211E-14
    41  -1.74352576E-06   7.19825373E-16   1.74352576E-06
    42   1.15164275E-14   1.02518628E-14   1.54184563E-14
    43   1.09339781E-06   6.51245433E-16   1.09339781E-06
    44   9.02687672E-15   1.06516735E-14   1.39621865E-14
    45   9.82105012E-07   5.92987138E-16   9.82105012E-07
    46   5.16049812E-15   1.10533372E-14   1.21986476E-14
    47   2.20902028E-07   5.39737133E-16   2.20902028E-07
    48   2.26183887E-15   1.14507356E-14   1.16719862E-14
    49  -1.20199099E-07   4.88899023E-16   1.20199099E-07
    50   8.36471276E-16   1.18181075E-14   1.18476727E-14
    51  -1.09248395E-07   4.38928553E-16   1.09248395E-07
    52  -7.34587682E-16   1.21269035E-14   1.21491319E-14
    53  -2.98479831E-08   3.84560253E-16   2.98479831E-08
    54   3.52297461E-16   1.23637629E-14   1.23687811E-14
    55   6.87713913E-09   3.17745720E-16   6.87713913E-09
    56  -1.66335213E-15   1.25333642E-14   1.26432574E-14
    57   1.03606290E-08   2.35806372E-16   1.03606290E-08
    58   6.79291037E-16   1.26372530E-14   1.26554968E-14
    59   5.36805531E-09   1.47469358E-16   5.36805531E-09
    60  -2.52947843E-15   1.26311888E-14   1.28819715E-14
    61   1.12253153E-09   6.96122930E-17   1.12253153E-09
    62   9.80845631E-16   1.23672557E-14   1.24060901E-14
    63  -9.34879768E-10   1.71280056E-17   9.34879768E-10
    64  -3.42802434E-15   1.15481924E-14   1.20462483E-14
    65  -1.06531344E-09  -6.36777370E-18   1.06531344E-09
    66   1.60963347E-15   9.76127263E-15   9.89309675E-15
    67  -3.03811287E-10  -9.50654613E-18   3.03811287E-10
    68  -3.61695841E-15   6.67599016E-15   7.59284089E-15
    69   1.54636477E-10  -4.94983834E-18   1.54636477E-10
    70   2.76953379E-15   2.39012704E-15   3.65828166E-15
